% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	Nprb
1.042	1	3	105	3	1	5	349	0	0	32
1.042	1	1	105	3	2	10	645	0	0	32
1.042	1	2	105	3	3	20	1572	0	0	32
1.139	1	1	114	10	2	10	645	0	0	32
1.139	1	2	114	10	3	20	1572	0	0	32
1.139	1	3	114	10	1	1	145	0	0	32
1.14	1	3	115	1	1	1	217	0	0	47
1.14	1	1	115	1	2	10	935	0	0	47
1.141	1	3	115	2	1	1	453	0	0	98
1.142	1	3	115	3	1	1	453	0	0	98
1.143	1	3	115	4	1	5	1095	0	0	98
1.236	1	2	124	7	3	20	4904	0	0	98
1.237	1	1	124	8	2	10	1980	0	0	99
1.238	1	1	124	9	2	10	1980	0	0	99
1.24	1	3	125	1	1	5	1095	0	0	98
1.241	1	3	125	2	1	5	1095	0	0	98
1.242	1	3	125	3	1	5	1095	0	0	98
1.333	1	2	134	4	3	20	4904	0	0	98
1.335	1	1	134	6	2	10	1980	0	0	99
1.336	1	1	134	7	2	10	1980	0	0	99
1.337	1	1	134	8	2	10	1980	0	0	99
1.339	1	3	134	10	1	1	453	0	0	98
1.34	1	3	135	1	1	1	453	0	0	98
1.341	1	3	135	2	1	1	453	0	0	98
1.342	1	3	135	3	1	5	1095	0	0	98
1.343	1	3	135	4	1	1	453	0	0	98
1.344	1	3	135	5	1	1	453	0	0	98
1.345	1	3	135	6	1	1	453	0	0	98
1.346	1	3	135	7	1	1	453	0	0	98
1.347	1	3	135	8	1	1	453	0	0	98
1.43	1	2	144	1	3	20	4904	0	0	98
1.433	1	1	144	4	2	10	1980	0	0	99
1.434	1	1	144	5	2	10	1980	0	0	99
1.435	1	1	144	6	2	10	1980	0	0	99
1.441	1	3	145	2	1	1	453	0	0	98
1.442	1	3	145	3	1	1	453	0	0	98
1.443	1	3	145	4	1	1	453	0	0	98
1.444	1	3	145	5	1	1	453	0	0	98
1.445	1	3	145	6	1	5	1095	0	0	98
1.446	1	3	145	7	1	5	1095	0	0	98
1.447	1	3	145	8	1	5	1095	0	0	98
1.527	1	2	153	8	3	20	4904	0	0	98
1.528	1	2	153	9	3	20	4904	0	0	98
1.53	1	1	154	1	2	15	3542	0	0	97
1.531	1	1	154	2	2	10	1980	0	0	99
1.532	1	1	154	3	2	10	1980	0	0	99
1.533	1	1	154	4	2	10	1980	0	0	99
1.541	1	3	155	2	1	5	1095	0	0	98
1.542	1	3	155	3	1	1	453	0	0	98
1.543	1	3	155	4	1	1	453	0	0	98
1.544	1	3	155	5	1	1	453	0	0	98
1.545	1	3	155	6	1	1	453	0	0	98
1.546	1	3	155	7	1	1	453	0	0	98
1.547	1	3	155	8	1	5	1095	0	0	98
1.548	1	3	155	9	1	5	1095	0	0	98
1.549	1	3	155	10	1	5	1095	0	0	98
1.55	1	3	156	1	1	5	1095	0	0	98
1.551	1	3	156	2	1	5	1095	0	0	98
1.624	1	2	163	5	3	25	7167	0	0	98
1.625	1	2	163	6	3	20	4904	0	0	98
1.626	1	2	163	7	3	20	4904	0	0	98
1.627	1	1	163	8	2	15	3542	0	0	97
