% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
1.106	1	3	111	7	2	28	9422
1.107	1	10	111	8	8	28	4587
1.107	1	11	111	8	12	28	4587
1.108	1	4	111	9	13	28	9422
1.109	1	5	111	10	4	28	4587
1.109	1	15	111	10	5	28	4587
1.11	1	12	112	1	14	28	9422
1.111	1	2	112	2	7	28	9422
1.112	1	14	112	3	15	28	9422
1.113	1	1	112	4	10	28	4587
1.113	1	8	112	4	11	28	4587
1.114	1	7	112	5	1	28	9422
1.115	1	9	112	6	6	28	9422
1.32	1	3	133	1	2	28	9422
1.321	1	10	133	2	8	28	4587
1.321	1	11	133	2	12	28	4587
1.322	1	4	133	3	13	28	9422
1.323	1	5	133	4	4	28	9422
1.324	1	15	133	5	5	28	4587
1.324	1	12	133	5	14	28	4587
1.325	1	2	133	6	7	28	9422
1.326	1	14	133	7	15	28	9422
1.327	1	1	133	8	10	28	4587
1.327	1	8	133	8	11	28	4587
1.328	1	7	133	9	1	28	9422
1.329	1	9	133	10	6	28	9422
1.534	1	3	154	5	2	28	9422
1.535	1	10	154	6	8	28	4587
1.535	1	11	154	6	12	28	4587
1.536	1	4	154	7	13	28	9422
1.537	1	5	154	8	4	28	9422
1.538	1	15	154	9	5	28	4587
1.538	1	12	154	9	14	28	4587
1.539	1	2	154	10	7	28	9422
1.54	1	14	155	1	15	28	9422
1.541	1	1	155	2	10	28	4587
1.541	1	8	155	2	11	28	4587
1.542	1	7	155	3	1	28	9422
1.543	1	9	155	4	6	28	9422
1.748	1	3	175	9	2	28	9422
1.749	1	10	175	10	8	28	4587
1.749	1	11	175	10	12	28	4587
1.75	1	4	176	1	13	28	9422
1.751	1	5	176	2	4	28	9422
1.752	1	15	176	3	5	28	4587
1.752	1	12	176	3	14	28	4587
1.753	1	2	176	4	7	28	9422
1.754	1	14	176	5	15	28	9422
1.756	1	1	176	7	10	28	4587
1.756	1	8	176	7	11	28	4587
1.757	1	7	176	8	1	28	4587
1.757	1	9	176	8	6	28	4587
1.948	1	3	195	9	2	28	9422
1.949	1	10	195	10	8	28	9422
1.95	1	11	196	1	12	28	4587
1.95	1	4	196	1	13	28	4587
1.951	1	5	196	2	4	28	9422
1.952	1	15	196	3	5	28	4587
1.952	1	12	196	3	14	28	4587
1.953	1	2	196	4	7	28	9422
1.954	1	14	196	5	15	28	9422
1.956	1	1	196	7	10	28	4587
1.956	1	8	196	7	11	28	4587
1.957	1	7	196	8	1	28	4587
1.957	1	9	196	8	6	28	4587
1.962	1	3	197	3	2	28	9422
1.963	1	10	197	4	8	28	4587
1.963	1	11	197	4	12	28	4587
1.964	1	4	197	5	13	28	9422
1.965	1	5	197	6	4	28	9422
1.966	1	15	197	7	5	28	4587
1.966	1	12	197	7	14	28	4587
1.967	1	2	197	8	7	28	9422
1.968	1	14	197	9	15	28	9422
1.97	1	1	198	1	10	28	4587
1.97	1	8	198	1	11	28	4587
1.971	1	7	198	2	1	28	4587
1.971	1	9	198	2	6	28	4587
2.106	1	6	211	7	9	28	4587
2.106	1	13	211	7	3	28	4587
2.162	1	3	217	3	2	28	9422
2.163	1	10	217	4	8	28	4587
2.163	1	11	217	4	12	28	4587
2.164	1	4	217	5	13	28	4587
2.164	1	11	217	5	12	28	4587
2.165	1	5	217	6	4	28	9422
2.166	1	15	217	7	5	28	4587
2.166	1	12	217	7	14	28	4587
2.167	1	2	217	8	7	28	9422
2.168	1	14	217	9	15	28	9422
2.17	1	1	218	1	10	28	4587
2.17	1	8	218	1	11	28	4587
2.171	1	7	218	2	1	28	4587
2.171	1	9	218	2	6	28	4587
2.176	1	3	218	7	2	28	9422
2.177	1	10	218	8	8	28	4587
2.177	1	11	218	8	12	28	4587
2.178	1	4	218	9	13	28	9422
2.179	1	5	218	10	4	28	9422
2.18	1	15	219	1	5	28	4587
2.18	1	12	219	1	14	28	4587
2.181	1	2	219	2	7	28	9422
2.182	1	14	219	3	15	28	9422
2.184	1	1	219	5	10	28	4587
2.184	1	8	219	5	11	28	4587
2.185	1	7	219	6	1	28	4587
2.185	1	9	219	6	6	28	4587
2.186	1	9	219	7	6	28	9422
2.32	1	6	233	1	9	28	4587
2.32	1	13	233	1	3	28	4587
2.376	1	3	238	7	2	28	9422
2.377	1	10	238	8	8	28	4587
2.377	1	11	238	8	12	28	4587
2.378	1	4	238	9	13	28	4587
2.378	1	11	238	9	12	28	4587
2.379	1	5	238	10	4	28	9422
2.38	1	15	239	1	5	28	4587
2.38	1	12	239	1	14	28	4587
2.381	1	2	239	2	7	28	9422
2.382	1	14	239	3	15	28	9422
2.384	1	1	239	5	10	28	4587
2.384	1	8	239	5	11	28	4587
2.385	1	7	239	6	1	28	4587
2.385	1	9	239	6	6	28	4587
2.39	1	3	240	1	2	28	9422
2.391	1	10	240	2	8	28	9422
2.392	1	11	240	3	12	28	4587
2.392	1	4	240	3	13	28	4587
2.393	1	5	240	4	4	28	9422
2.394	1	12	240	5	14	28	9422
2.395	1	15	240	6	5	28	4587
2.395	1	2	240	6	7	28	4587
2.396	1	14	240	7	15	28	4587
2.396	1	2	240	7	7	28	4587
2.398	1	1	240	9	10	28	4587
2.398	1	8	240	9	11	28	4587
2.399	1	7	240	10	1	28	4587
2.399	1	8	240	10	11	28	4587
2.4	1	7	241	1	1	28	4587
2.4	1	9	241	1	6	28	4587
2.534	1	6	254	5	9	28	4587
2.534	1	13	254	5	3	28	4587
2.59	1	3	260	1	2	28	9422
2.591	1	10	260	2	8	28	4587
2.591	1	11	260	2	12	28	4587
2.592	1	4	260	3	13	28	4587
2.592	1	11	260	3	12	28	4587
2.593	1	5	260	4	4	28	9422
2.594	1	15	260	5	5	28	4587
2.594	1	12	260	5	14	28	4587
2.595	1	2	260	6	7	28	9422
2.596	1	14	260	7	15	28	9422
2.598	1	1	260	9	10	28	4587
2.598	1	8	260	9	11	28	4587
2.599	1	7	260	10	1	28	4587
2.599	1	9	260	10	6	28	4587
2.604	1	3	261	5	2	28	9422
2.605	1	10	261	6	8	28	9422
2.606	1	4	261	7	13	28	9422
2.607	1	5	261	8	4	28	4587
2.608	1	12	261	9	14	28	3062
2.608	1	5	261	9	4	28	3062
2.609	1	12	261	10	14	28	3062
2.609	1	2	261	10	7	28	3062
2.61	1	15	262	1	5	28	3062
2.61	1	2	262	1	7	28	3062
2.611	1	14	262	2	15	28	3062
2.611	1	15	262	2	5	28	3062
2.612	1	14	262	3	15	28	3062
2.612	1	1	262	3	10	28	3062
2.612	1	11	262	3	12	28	3062
2.613	1	1	262	4	10	28	4587
2.613	1	8	262	4	11	28	4587
2.614	1	7	262	5	1	28	4587
2.614	1	8	262	5	11	28	4587
